Feature,Importance
Global_intensity,0.9981681321952551
Global_reactive_power,0.00041934654473069856
Voltage,0.0003947618669441619
Sub_metering_1,0.0002235025208735587
lag_24h,0.0001880364939336346
Sub_metering_3,0.0001426799479453263
lag_168h,0.00012579914243454434
hour,0.00011172320259154884
month,9.656360200300764e-05
Sub_metering_2,7.171810630003473e-05
day_of_week,5.773637698841299e-05
